case, r_max, f_dsc,   v_sum, v_max,  d_cycle,  g_avg, v_x_g_sum,  n_max1,  n_max2,  n_max3,   n_max, v_max_c, v_max_v, g_v_max,  n_min1, n_min12, n_min2d,  n_min2,  n_min3
   1, 0.428, 0.000, 83758.6, 131.3,  23266.3, 3.7882,  404441.0, 4379.75, 2356.84, 3773.09, 4379.75,   131.3,   210.2,       6,  800.00,  920.00,  800.00,  720.00, 1200.00
   2, 0.361, 0.000, 83758.6, 131.3,  23266.3, 3.8460,  406807.5, 6913.01, 2882.04, 4980.45, 6913.01,   131.3,   226.9,       5,  700.00,  805.00,  700.00,  630.00, 1238.00
   3, 0.370, 0.000, 83758.6, 131.3,  23266.3, 3.9211,  416219.6, 6685.48, 3222.10, 5173.03, 6685.48,   131.3,   210.8,       5,  800.00,  920.00,  800.00,  720.00, 1250.00
   4, 0.472, 0.000, 83758.6, 131.3,  23266.3, 4.0039,  418870.9, 4387.90, 2656.20, 4009.59, 4387.90,   131.3,   198.2,       6,  850.00,  977.00,  850.00,  765.00, 1244.00
   5, 0.546, 0.000, 83758.6, 131.3,  23266.3, 4.3787,  441419.1, 6076.67, 4167.46, 5579.89, 6076.67,   131.3,   175.8,       5,  750.00,  862.00,  750.00,  675.00, 1344.00
   6, 0.488, 0.000, 83758.6, 131.3,  23266.3, 3.6341,  366921.7, 6374.11, 4398.55, 6060.15, 6374.11,   131.3,   180.9,       4,  800.00,  920.00,  800.00,  720.00, 1325.00
   7, 0.888, 0.000, 83758.6, 130.4,  23228.7, 4.2015,  429855.6, 3602.57, 2781.43, 3071.52, 3602.57,   130.4,   144.0,       6,  780.00,  897.00,  780.00,  702.00, 1120.00
   8, 0.749, 0.000, 83758.6, 131.3,  23266.3, 5.0674,  478874.1, 3230.00, 4130.70, 4486.20, 4486.20,   131.3,   142.6,       6,  800.00,  920.00,  800.00,  720.00,  950.00
   9, 0.799, 0.000, 83758.6, 131.3,  23266.3, 3.8575,  377244.8, 7689.83, 6118.58, 6705.74, 7689.83,   131.3,   143.9,       4,  850.00,  977.00,  850.00,  765.00, 1556.00
  10, 0.528, 0.000, 83758.6, 131.3,  23266.3, 3.5841,  362252.0, 6911.59, 4518.03, 6396.82, 6911.59,   131.3,   185.9,       4,  750.00,  862.00,  750.00,  675.00, 1406.00
  11, 0.357, 0.000, 83758.6, 131.3,  23266.3, 4.0398,  420070.4, 4100.00, 2232.10, 3615.90, 4100.00,   131.3,   212.7,       6,  750.00,  862.00,  750.00,  675.00, 1094.00
  12, 0.426, 0.000, 83758.6, 131.3,  23266.3, 3.6579,  369438.0, 6000.04, 3545.10, 5286.60, 6000.04,   131.3,   195.8,       5,  750.00,  862.00,  750.00,  675.00, 1375.00
  13, 0.286, 0.000, 83758.6, 131.3,  23266.3, 4.1123,  425875.7, 6000.04, 2888.60, 5044.60, 6000.04,   131.3,   229.3,       6,  750.00,  862.00,  750.00,  675.00, 1344.00
  14, 0.200, 0.000, 83758.6, 131.3,  23266.3, 4.2985,  440587.6, 6450.01, 3545.10, 6461.10, 6461.10,   131.3,   239.3,       6,  700.00,  805.00,  700.00,  630.00, 1363.00
  15, 0.696, 0.000, 83758.6, 131.3,  23266.3, 3.7882,  376187.1, 6000.04, 4332.90, 5405.40, 6000.04,   131.3,   163.8,       5,  750.00,  862.00,  750.00,  675.00, 1375.00
  16, 0.403, 0.000, 83758.6, 131.3,  23266.3, 4.1123,  425875.7, 6000.04, 3676.40, 5745.60, 6000.04,   131.3,   205.2,       5,  750.00,  862.00,  750.00,  675.00, 1344.00
  17, 0.650, 0.000, 83758.6, 131.3,  23266.3, 4.2009,  431313.2, 4142.86, 3151.20, 3950.40, 4142.86,   131.3,   164.6,       5,  750.00,  862.00,  750.00,  675.00, 1125.00
  18, 0.650, 0.000, 83758.6, 131.3,  23266.3, 4.1277,  425365.3, 4142.86, 3151.20, 3950.40, 4142.86,   131.3,   164.6,       5,  750.00,  862.00,  750.00,  675.00, 1125.00
  19, 0.991, 0.000, 81536.9, 118.4,  22434.1, 4.2968,  419014.8, 5000.04, 2486.40, 2767.80, 5000.04,   118.4,   131.8,       6,  750.00,  862.00,  750.00,  675.00, 1125.00
  20, 1.018, 0.000, 81536.9, 117.4,  22387.8, 3.9756,  376937.9, 4462.50, 3639.40, 4039.30, 4462.50,   117.4,   130.3,       4,  750.00,  862.00,  750.00,  675.00, 1125.00
  21, 0.708, 0.000, 83758.6, 131.3,  23266.3, 4.1662,  426937.6, 4100.00, 2494.70, 3161.60, 4100.00,   131.3,   166.4,       6,  750.00,  862.00,  750.00,  675.00, 1094.00
  22, 0.708, 0.000, 83758.6, 131.3,  23266.3, 4.0546,  417832.1, 4100.00, 2494.70, 3161.60, 4100.00,   131.3,   166.4,       6,  750.00,  862.00,  750.00,  675.00, 1094.00
  23, 0.502, 0.000, 83758.6, 131.3,  23266.3, 6.0565,  662319.5, 4141.73, 2494.70, 3642.30, 4141.73,   131.3,   191.7,       9,  800.00,  920.00,  800.00,  720.00, 1200.00
  24, 0.984, 0.000, 81536.9, 118.8,  22448.3, 3.3673,  303912.8, 5462.36, 5108.40, 5559.90, 5559.90,   118.8,   129.3,       4,  900.00, 1035.00,  900.00,  810.00, 1413.00
  25, 0.927, 0.000, 81536.9, 120.9,  22546.0, 4.2603,  417425.1, 4141.84, 3293.32, 3843.56, 4141.84,   120.9,   141.1,       5,  800.00,  920.00,  800.00,  720.00, 1200.00
  26, 1.101, 0.000, 41139.6,  62.2,  11335.4, 3.2526,  151155.7, 3706.23, 3612.58, 3972.67, 3972.67,    62.2,    68.4,       4, 1200.00, 1380.00, 1200.00, 1080.00, 1500.00
  27, 0.668, 0.000, 41139.6,  64.4,  11427.7, 3.8821,  185820.1, 3525.00, 2559.26, 3648.13, 3648.13,    64.4,    91.8,       5,  900.00, 1035.00,  900.00,  810.00, 1213.00
  28, 0.440, 0.000, 41139.6,  64.4,  11427.7, 2.9562,  143834.8, 2990.82, 2060.80, 3366.40, 3366.40,    64.4,   105.2,       4,  850.00,  977.00,  850.00,  765.00, 1106.00
  29, 0.417, 0.000, 83758.6, 131.3,  23266.3, 3.4275,  354295.2, 4146.16, 2400.16, 3800.41, 4146.16,   131.3,   207.9,       5,  700.00,  805.00,  700.00,  630.00, 1113.00
  30, 0.131, 0.000, 83758.6, 131.3,  23266.3, 3.8357,  406946.1, 8800.00, 3596.31, 8797.67, 8800.00,   131.3,   321.2,       6,  900.00, 1035.00,  900.00,  810.00, 1850.00
  31, 0.673, 0.000, 83758.6, 131.3,  23266.3, 3.0584,  311446.6, 6257.50, 5312.40, 6566.66, 6566.66,   131.3,   162.3,       3,  850.00,  977.00,  850.00,  765.00, 1494.00
  32, 0.730, 0.000, 83758.6, 131.3,  23266.3, 3.5289,  360452.9, 6260.00, 4684.78, 5951.42, 6260.00,   131.3,   166.8,       4,  800.00,  920.00,  800.00,  720.00, 1450.00
  33, 1.198, 0.000, 83496.9, 118.8,  22641.6, 5.2028,  469540.1, 2897.44, 3682.80, 3354.20, 3682.80,   118.8,   108.2,       6,  600.00,  690.00,  600.00,  540.00,  875.00
  34, 0.502, 0.000, 83758.6, 131.3,  23266.3, 2.2843,  223841.5, 4141.73, 3019.90, 4275.70, 4275.70,   131.3,   185.9,       3,  800.00,  920.00,  800.00,  720.00, 1200.00
  35, 1.268, 0.000, 83496.9, 117.0,  22566.2, 3.8935,  372658.6, 4408.33, 3660.93, 3776.70, 4408.33,   117.0,   120.7,       4,  750.00,  862.00,  750.00,  675.00, 1094.00
  36, 0.846, 0.000, 83758.6, 131.3,  23266.3, 4.6643,  460156.7, 3619.58, 3610.75, 3968.25, 3968.25,   131.3,   144.3,       6,  800.00,  920.00,  800.00,  720.00, 1138.00
  37, 0.852, 0.000, 83758.6, 131.3,  23266.3, 3.5392,  349220.6, 6797.61, 5645.90, 6368.30, 6797.61,   131.3,   148.1,       4,  900.00, 1035.00,  900.00,  810.00, 1563.00
  38, 0.749, 0.000, 83758.6, 131.3,  23266.3, 4.1714,  397541.7, 3230.00, 4130.70, 4486.20, 4486.20,   131.3,   142.6,       5,  800.00,  920.00,  800.00,  720.00,  950.00
  39, 0.502, 0.000, 83758.6, 131.3,  23266.3, 5.2490,  584739.3, 4141.73, 2494.70, 3642.30, 4141.73,   131.3,   191.7,       8,  800.00,  920.00,  800.00,  720.00, 1200.00
  40, 0.562, 0.000, 83758.6, 131.3,  23266.3, 3.6277,  364313.3, 6400.00, 4646.71, 6012.76, 6400.00,   131.3,   169.9,       4,  700.00,  805.00,  700.00,  630.00, 1363.00
  41, 0.898, 0.000, 41139.6,  64.4,  11427.7, 3.6884,  161935.7, 5138.50, 5815.32, 5779.20, 5815.32,    64.4,    64.0,       4,  700.00,  805.00,  700.00,  630.00, 1238.00
  42, 0.428, 0.000, 83758.6, 131.3,  23266.3, 3.7747,  403114.6, 4379.75, 2356.84, 3773.09, 4379.75,   131.3,   210.2,       6,  800.00,  920.00,  800.00,  720.00, 1200.00
  43, 1.282, 0.000, 83496.9, 116.7,  22550.3, 4.9018,  456116.0, 4408.33, 3924.62, 4028.87, 4408.33,   116.7,   119.8,       6,  750.00,  862.00,  750.00,  675.00, 1094.00
  44, 1.282, 0.000, 83496.9, 116.7,  22550.3, 4.0128,  377470.4, 4408.33, 3924.62, 4028.87, 4408.33,   116.7,   119.8,       5,  750.00,  862.00,  750.00,  675.00, 1094.00
  45, 0.502, 0.000, 83758.6, 131.3,  23266.3, 4.4634,  467914.5, 4141.73, 2838.71, 4112.12, 4141.73,   131.3,   190.2,       6,  800.00,  920.00,  800.00,  720.00, 1200.00
  46, 0.782, 0.000, 83758.6, 131.3,  23266.3, 3.6380,  390484.7, 3698.10, 2494.70, 2994.40, 3698.10,   131.3,   157.6,       5,  850.00,  977.00,  850.00,  765.00, 1181.00
  47, 0.782, 0.000, 83758.6, 131.3,  23266.3, 3.9236,  413649.0, 3698.10, 2100.80, 2521.60, 3698.10,   131.3,   157.6,       6,  850.00,  977.00,  850.00,  765.00,  994.00
  48, 0.212, 0.000, 83758.6, 131.3,  23266.3, 4.1938,  432540.5, 6527.10, 3164.33, 6798.61, 6798.61,   131.3,   282.1,       6,  700.00,  805.00,  700.00,  630.00, 1338.00
  49, 0.502, 0.000, 83758.6, 131.3,  23266.3, 3.1418,  303511.1, 4141.73, 3019.90, 4275.70, 4275.70,   131.3,   185.9,       4,  800.00,  920.00,  800.00,  720.00, 1200.00
