case,       n,     p,   ASM
   1,  800.00,   9.4, 0.000
   1, 1000.00,  19.9, 0.000
   1, 1250.00,  35.3, 0.000
   1, 1500.00,  50.3, 0.000
   1, 1750.00,  58.6, 0.000
   1, 2000.00,  67.0, 0.000
   1, 2250.00,  75.4, 0.000
   1, 2500.00,  83.8, 0.000
   1, 2750.00,  92.2, 0.000
   1, 3000.00, 100.5, 0.000
   1, 3250.00, 104.8, 0.000
   1, 3500.00, 108.1, 0.000
   1, 3750.00, 109.6, 0.000
   1, 4000.00, 110.0, 0.000
   1, 4200.00, 107.8, 0.000
   1, 4400.00, 104.1, 0.000
   1, 4600.00,  97.3, 0.000
   1, 4800.00,  75.4, 0.000
   1, 5000.00,  55.0, 0.000
   1, 5200.00,  27.2, 0.000
   2,  700.00,   8.2, 0.000
   2, 1000.00,  20.9, 0.000
   2, 1250.00,  32.1, 0.000
   2, 1300.00,  36.5, 0.000
   2, 1350.00,  41.0, 0.000
   2, 1450.00,  48.6, 0.000
   2, 3000.00, 100.5, 0.000
   2, 3700.00, 124.0, 0.000
   2, 4250.00, 129.1, 0.000
   2, 4500.00, 131.5, 0.000
   2, 5000.00, 135.0, 0.000
   2, 5500.00, 134.8, 0.000
   2, 6500.00, 134.8, 0.000
   2, 6600.00, 133.4, 0.000
   2, 6800.00, 130.3, 0.000
   2, 7000.00, 126.7, 0.000
   2, 7200.00, 121.3, 0.000
   2, 7400.00, 114.1, 0.000
   2, 7600.00, 104.8, 0.000
   2, 7800.00,  93.1, 0.000
   3,  800.00,   9.4, 0.000
   3, 1000.00,  18.9, 0.000
   3, 1150.00,  24.6, 0.000
   3, 1250.00,  28.8, 0.000
   3, 1300.00,  31.3, 0.000
   3, 1500.00,  36.1, 0.000
   3, 2000.00,  48.2, 0.000
   3, 2500.00,  60.2, 0.000
   3, 3000.00,  72.3, 0.000
   3, 3500.00,  84.3, 0.000
   3, 4000.00,  96.3, 0.000
   3, 4300.00,  99.1, 0.000
   3, 4400.00, 100.0, 0.000
   3, 4500.00, 100.0, 0.000
   3, 5000.00, 100.0, 0.000
   3, 5500.00, 100.0, 0.000
   3, 6000.00,  99.9, 0.000
   3, 6500.00,  98.5, 0.000
   3, 7000.00,  89.1, 0.000
   3, 7500.00,  56.8, 0.000
   4, 1000.00,  12.7, 0.000
   4, 1500.00,  43.6, 0.000
   4, 2000.00,  67.0, 0.000
   4, 2500.00,  82.0, 0.000
   4, 3000.00,  90.8, 0.000
   4, 3500.00,  94.6, 0.000
   4, 4000.00,  96.2, 0.000
