case, phase,    v_sum, t_cmp
   1,     1,  11140.3,   589
   1,     2,  17121.2,   433
   1,     3,  25782.2,   455
   1,     4,  29714.9,   323
   2,     1,  11140.3,   589
   2,     2,  17121.2,   433
   2,     3,  25782.2,   455
   2,     4,  29714.9,   323
   3,     1,  11140.3,   589
   3,     2,  17121.2,   433
   3,     3,  25782.2,   455
   3,     4,  29714.9,   323
   4,     1,  11140.3,   589
   4,     2,  17121.2,   433
   4,     3,  25782.2,   455
   4,     4,  29714.9,   323
   5,     1,  11140.3,   589
   5,     2,  17121.2,   433
   5,     3,  25782.2,   455
   5,     4,  29714.9,   323
   6,     1,  11140.3,   589
   6,     2,  17121.2,   433
   6,     3,  25782.2,   455
   6,     4,  29714.9,   323
   7,     1,  11140.3,   589
   7,     2,  17121.2,   433
   7,     3,  25782.2,   455
   7,     4,  29714.9,   323
   8,     1,  11140.3,   589
   8,     2,  17121.2,   433
   8,     3,  25782.2,   455
   8,     4,  29714.9,   323
   9,     1,  11140.3,   589
   9,     2,  17121.2,   433
   9,     3,  25782.2,   455
   9,     4,  29714.9,   323
  10,     1,  11140.3,   589
  10,     2,  17121.2,   433
  10,     3,  25782.2,   455
  10,     4,  29714.9,   323
  11,     1,  11140.3,   589
  11,     2,  17121.2,   433
  11,     3,  25782.2,   455
  11,     4,  29714.9,   323
  12,     1,  11140.3,   589
  12,     2,  17121.2,   433
  12,     3,  25782.2,   455
  12,     4,  29714.9,   323
  13,     1,  11140.3,   589
  13,     2,  17121.2,   433
  13,     3,  25782.2,   455
  13,     4,  29714.9,   323
  14,     1,  11140.3,   589
  14,     2,  17121.2,   433
  14,     3,  25782.2,   455
  14,     4,  29714.9,   323
  15,     1,  11140.3,   589
  15,     2,  17121.2,   433
  15,     3,  25782.2,   455
  15,     4,  29714.9,   323
  16,     1,  11140.3,   589
  16,     2,  17121.2,   433
  16,     3,  25782.2,   455
  16,     4,  29714.9,   323
  17,     1,  11140.3,   589
  17,     2,  17121.2,   433
  17,     3,  25782.2,   455
  17,     4,  29714.9,   323
  18,     1,  11140.3,   589
  18,     2,  17121.2,   433
  18,     3,  25782.2,   455
  18,     4,  29714.9,   323
  19,     1,  11162.2,   589
  19,     2,  17054.3,   433
  19,     3,  24450.6,   455
  19,     4,  28869.8,   323
  20,     1,  11162.2,   589
  20,     2,  17054.3,   433
  20,     3,  24450.6,   455
  20,     4,  28869.8,   323
  21,     1,  11140.3,   589
  21,     2,  17121.2,   433
  21,     3,  25782.2,   455
  21,     4,  29714.9,   323
  22,     1,  11140.3,   589
  22,     2,  17121.2,   433
  22,     3,  25782.2,   455
  22,     4,  29714.9,   323
  23,     1,  11140.3,   589
  23,     2,  17121.2,   433
  23,     3,  25782.2,   455
  23,     4,  29714.9,   323
  24,     1,  11162.2,   589
  24,     2,  17054.3,   433
  24,     3,  24450.6,   455
  24,     4,  28869.8,   323
  25,     1,  11162.2,   589
  25,     2,  17054.3,   433
  25,     3,  24450.6,   455
  25,     4,  28869.8,   323
  26,     1,  11988.4,   589
  26,     2,  17162.8,   433
  26,     3,  11988.4,   589
  27,     1,  11988.4,   589
  27,     2,  17162.8,   433
  27,     3,  11988.4,   589
  28,     1,  11988.4,   589
  28,     2,  17162.8,   433
  28,     3,  11988.4,   589
  29,     1,  11140.3,   589
  29,     2,  17121.2,   433
  29,     3,  25782.2,   455
  29,     4,  29714.9,   323
  30,     1,  11140.3,   589
  30,     2,  17121.2,   433
  30,     3,  25782.2,   455
  30,     4,  29714.9,   323
  31,     1,  11140.3,   589
  31,     2,  17121.2,   433
  31,     3,  25782.2,   455
  31,     4,  29714.9,   323
  32,     1,  11140.3,   589
  32,     2,  17121.2,   433
  32,     3,  25782.2,   455
  32,     4,  29714.9,   323
  33,     1,  11140.3,   589
  33,     2,  16995.7,   433
  33,     3,  25646.0,   455
  33,     4,  29714.9,   323
  34,     1,  11140.3,   589
  34,     2,  17121.2,   433
  34,     3,  25782.2,   455
  34,     4,  29714.9,   323
  35,     1,  11140.3,   589
  35,     2,  16995.7,   433
  35,     3,  25646.0,   455
  35,     4,  29714.9,   323
  36,     1,  11140.3,   589
  36,     2,  17121.2,   433
  36,     3,  25782.2,   455
  36,     4,  29714.9,   323
  37,     1,  11140.3,   589
  37,     2,  17121.2,   433
  37,     3,  25782.2,   455
  37,     4,  29714.9,   323
  38,     1,  11140.3,   589
  38,     2,  17121.2,   433
  38,     3,  25782.2,   455
  38,     4,  29714.9,   323
  39,     1,  11140.3,   589
  39,     2,  17121.2,   433
  39,     3,  25782.2,   455
  39,     4,  29714.9,   323
  40,     1,  11140.3,   589
  40,     2,  17121.2,   433
  40,     3,  25782.2,   455
  40,     4,  29714.9,   323
  41,     1,  11988.4,   589
  41,     2,  17162.8,   433
  41,     3,  11988.4,   589
  42,     1,  11140.3,   589
  42,     2,  17121.2,   433
  42,     3,  25782.2,   455
  42,     4,  29714.9,   323
  43,     1,  11140.3,   589
  43,     2,  16995.7,   433
  43,     3,  25646.0,   455
  43,     4,  29714.9,   323
  44,     1,  11140.3,   589
  44,     2,  16995.7,   433
  44,     3,  25646.0,   455
  44,     4,  29714.9,   323
  45,     1,  11140.3,   589
  45,     2,  17121.2,   433
  45,     3,  25782.2,   455
  45,     4,  29714.9,   323
  46,     1,  11140.3,   589
  46,     2,  17121.2,   433
  46,     3,  25782.2,   455
  46,     4,  29714.9,   323
  47,     1,  11140.3,   589
  47,     2,  17121.2,   433
  47,     3,  25782.2,   455
  47,     4,  29714.9,   323
  48,     1,  11140.3,   589
  48,     2,  17121.2,   433
  48,     3,  25782.2,   455
  48,     4,  29714.9,   323
  49,     1,  11140.3,   589
  49,     2,  17121.2,   433
  49,     3,  25782.2,   455
  49,     4,  29714.9,   323
  50,     1,  11140.3,   589
  50,     2,  17121.2,   433
  50,     3,  25782.2,   455
  50,     4,  29714.9,   323
  51,     1,  11162.2,   589
  51,     2,  17054.3,   433
  51,     3,  24450.6,   455
  51,     4,  28869.8,   323
  52,     1,  11140.3,   589
  52,     2,  17121.2,   433
  52,     3,  25782.2,   455
  52,     4,  29714.9,   323
  53,     1,  11140.3,   589
  53,     2,  17121.2,   433
  53,     3,  25782.2,   455
  53,     4,  29714.9,   323
  54,     1,  11140.3,   589
  54,     2,  17121.2,   433
  54,     3,  25782.2,   455
  54,     4,  29714.9,   323
  55,     1,  11140.3,   589
  55,     2,  17121.2,   433
  55,     3,  25782.2,   455
  55,     4,  29714.9,   323
  56,     1,  11140.3,   589
  56,     2,  17121.2,   433
  56,     3,  25782.2,   455
  56,     4,  29714.9,   323
  57,     1,  11162.2,   589
  57,     2,  17054.3,   433
  57,     3,  24450.6,   455
  57,     4,  28869.8,   323
  58,     1,  11140.3,   589
  58,     2,  17121.2,   433
  58,     3,  25782.2,   455
  58,     4,  29714.9,   323
  59,     1,  11140.3,   589
  59,     2,  17121.2,   433
  59,     3,  25782.2,   455
  59,     4,  29714.9,   323
  60,     1,  11140.3,   589
  60,     2,  17121.2,   433
  60,     3,  25782.2,   455
  60,     4,  29714.9,   323
  61,     1,  11140.3,   589
  61,     2,  17121.2,   433
  61,     3,  25782.2,   455
  61,     4,  29714.9,   323
  62,     1,  11140.3,   589
  62,     2,  17121.2,   433
  62,     3,  25782.2,   455
  62,     4,  29714.9,   323
  63,     1,  11140.3,   589
  63,     2,  17121.2,   433
  63,     3,  25782.2,   455
  63,     4,  29714.9,   323
  64,     1,  11140.3,   589
  64,     2,  17121.2,   433
  64,     3,  25782.2,   455
  64,     4,  29714.9,   323
  65,     1,  11140.3,   589
  65,     2,  17121.2,   433
  65,     3,  25782.2,   455
  65,     4,  29714.9,   323
  66,     1,  11140.3,   589
  66,     2,  17121.2,   433
  66,     3,  25782.2,   455
  66,     4,  29714.9,   323
  67,     1,  11140.3,   589
  67,     2,  17121.2,   433
  67,     3,  25782.2,   455
  67,     4,  29714.9,   323
  68,     1,  11140.3,   589
  68,     2,  17121.2,   433
  68,     3,  25782.2,   455
  68,     4,  29714.9,   323
  69,     1,  11140.3,   589
  69,     2,  17121.2,   433
  69,     3,  25782.2,   455
  69,     4,  29714.9,   323
  70,     1,  11140.3,   589
  70,     2,  17121.2,   433
  70,     3,  25782.2,   455
  70,     4,  29714.9,   323
  71,     1,  11140.3,   589
  71,     2,  17121.2,   433
  71,     3,  25782.2,   455
  71,     4,  29714.9,   323
  72,     1,  11140.3,   589
  72,     2,  17121.2,   433
  72,     3,  25782.2,   455
  72,     4,  29714.9,   323
  73,     1,  11140.3,   589
  73,     2,  17121.2,   433
  73,     3,  25782.2,   455
  73,     4,  29714.9,   323
  74,     1,  11140.3,   589
  74,     2,  17121.2,   433
  74,     3,  25782.2,   455
