case,  veh, do_dsc, do_cap, do_cmp, calc_dsc, f_dsc, v_cap,    class,  n_min1, n_min12, n_min2d,  n_min2,  n_min3, n_min3a, n_min3d, n_min3as, n_min3ds, t_start, supp0, excl1, autom,   n_lim, asm_0, n_asm_s, n_asm_e, merge
   1,    1,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1200.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   2,    2,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1238.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   3,    3,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1250.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   4,    4,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1244.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   5,    5,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1344.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   6,    6,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1325.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   7,    7,      1,      0,      0,        0, 0.012,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1120.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   8,    8,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00,  950.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
   9,    9,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1556.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  10,   10,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1406.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  11,   11,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1094.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  12,   12,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1375.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  13,   13,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1344.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  14,   14,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1363.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  15,   15,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1375.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
  16,   16,      0,      0,      0,        0, 0.000,   0.0, class 3b,    0.00,    0.00,    0.00,    0.00, 1344.00,    0.00,    0.00,     0.00,     0.00,       0,     0,     0,     0,    0.00, 0.000,    0.00,    0.00,     0
