 veh,       n,       p,   ASM
   1,  800.00,   9.425, 0.000
   1, 1000.00,  19.897, 0.000
   1, 1250.00,  35.343, 0.000
   1, 1500.00,  50.265, 0.000
   1, 1750.00,  58.643, 0.000
   1, 2000.00,  67.021, 0.000
   1, 2250.00,  75.398, 0.000
   1, 2500.00,  83.776, 0.000
   1, 2750.00,  92.153, 0.000
   1, 3000.00, 100.531, 0.000
   1, 3250.00, 104.824, 0.000
   1, 3500.00, 108.123, 0.000
   1, 3750.00, 109.563, 0.000
   1, 4000.00, 110.000, 0.000
   1, 4200.00, 107.757, 0.000
   1, 4400.00, 104.133, 0.000
   1, 4600.00,  97.306, 0.000
   1, 4800.00,  75.398, 0.000
   1, 5000.00,  54.978, 0.000
   1, 5200.00,  27.227, 0.000
   2,  700.00,   8.215, 0.000
   2, 1000.00,  20.944, 0.000
   2, 1250.00,  32.070, 0.000
   2, 1300.00,  36.484, 0.000
   2, 1350.00,  40.998, 0.000
   2, 1450.00,  48.590, 0.000
   2, 3000.00, 100.531, 0.000
   2, 3700.00, 123.988, 0.000
   2, 4250.00, 129.067, 0.000
   2, 4500.00, 131.476, 0.000
   2, 5000.00, 135.000, 0.000
   2, 5500.00, 134.774, 0.000
   2, 6500.00, 134.774, 0.000
   2, 6600.00, 133.392, 0.000
   2, 6800.00, 130.313, 0.000
   2, 7000.00, 126.662, 0.000
   2, 7200.00, 121.259, 0.000
   2, 7400.00, 114.089, 0.000
   2, 7600.00, 104.833, 0.000
   2, 7800.00,  93.140, 0.000
   3,  800.00,   9.425, 0.000
   3, 1000.00,  18.850, 0.000
   3, 1150.00,  24.567, 0.000
   3, 1250.00,  28.798, 0.000
   3, 1300.00,  31.311, 0.000
   3, 1500.00,  36.128, 0.000
   3, 2000.00,  48.171, 0.000
   3, 2500.00,  60.214, 0.000
   3, 3000.00,  72.257, 0.000
   3, 3500.00,  84.299, 0.000
   3, 4000.00,  96.342, 0.000
   3, 4300.00,  99.065, 0.000
   3, 4400.00, 100.000, 0.000
   3, 4500.00, 100.000, 0.000
   3, 5000.00, 100.000, 0.000
   3, 5500.00,  99.986, 0.000
   3, 6000.00,  99.903, 0.000
   3, 6500.00,  98.494, 0.000
   3, 7000.00,  89.075, 0.000
   3, 7500.00,  56.826, 0.000
   4, 1000.00,  12.700, 0.000
   4, 1500.00,  43.600, 0.000
   4, 2000.00,  67.000, 0.000
   4, 2500.00,  82.000, 0.000
   4, 3000.00,  90.800, 0.000
   4, 3500.00,  94.600, 0.000
   4, 4000.00,  96.200, 0.000
   4, 4500.00,  90.000, 0.000
   4, 5000.00,  82.900, 0.000
   5, 1000.00,  12.000, 0.000
   5, 1500.00,  29.000, 0.000
   5, 2000.00,  43.000, 0.000
   5, 2500.00,  54.000, 0.000
   5, 3000.00,  64.000, 0.000
   5, 3500.00,  73.000, 0.000
   5, 4000.00,  81.000, 0.000
   5, 4500.00,  87.000, 0.000
   5, 5000.00,  91.000, 0.000
   5, 5500.00,  92.000, 0.000
   5, 6000.00,  92.000, 0.000
   5, 6300.00,  74.000, 0.000
   6, 1000.00,   8.200, 0.000
   6, 1500.00,  18.100, 0.000
   6, 2000.00,  27.200, 0.000
   6, 2500.00,  35.300, 0.000
   6, 3000.00,  42.400, 0.000
   6, 3500.00,  49.200, 0.000
   6, 4000.00,  55.300, 0.000
   6, 4500.00,  60.600, 0.000
   6, 5000.00,  65.900, 0.000
   6, 5500.00,  65.900, 0.000
   6, 6000.00,  64.700, 0.000
   6, 6500.00,  61.900, 0.000
   7, 1000.00,  26.200, 0.000
   7, 1500.00,  53.400, 0.000
   7, 2000.00,  71.200, 0.000
   7, 2500.00,  89.000, 0.000
   7, 3000.00,  97.400, 0.000
   7, 3500.00,  99.700, 0.000
   7, 4000.00,  75.400, 0.000
   8,  800.00,  20.000, 0.000
   8, 1000.00,  20.000, 0.000
   8, 1500.00,  33.000, 0.000
   8, 2000.00,  43.000, 0.000
   8, 2500.00,  42.500, 0.000
   8, 3000.00,  42.000, 0.000
   8, 4000.00,  37.000, 0.000
   8, 5000.00,  34.000, 0.000
   8, 6000.00,  27.000, 0.000
   8, 7000.00,  22.000, 0.000
   8, 7500.00,  19.000, 0.000
   9,  850.00,   5.600, 0.000
   9, 1000.00,   6.400, 0.000
   9, 1500.00,  10.200, 0.000
   9, 2000.00,  14.400, 0.000
   9, 2500.00,  19.000, 0.000
   9, 3000.00,  21.800, 0.000
   9, 3500.00,  25.100, 0.000
   9, 4000.00,  28.100, 0.000
   9, 4500.00,  30.400, 0.000
   9, 5000.00,  32.300, 0.000
   9, 5500.00,  34.200, 0.000
   9, 6000.00,  35.300, 0.000
   9, 6500.00,  36.000, 0.000
   9, 7000.00,  35.900, 0.000
   9, 7500.00,  34.943, 0.000
   9, 8000.00,  32.986, 0.000
  10,  750.00,   7.300, 0.000
  10, 1000.00,  11.100, 0.000
  10, 1500.00,  19.500, 0.000
  10, 2000.00,  27.900, 0.000
  10, 2500.00,  36.700, 0.000
  10, 3000.00,  44.300, 0.000
  10, 3500.00,  53.900, 0.000
  10, 4000.00,  64.300, 0.000
  10, 4500.00,  70.900, 0.000
  10, 5000.00,  78.500, 0.000
  10, 5500.00,  83.600, 0.000
  10, 6000.00,  85.500, 0.000
  10, 6500.00,  84.600, 0.000
  10, 7000.00,  80.500, 0.000
  10, 7500.00,  74.500, 0.000
  11,  750.00,   8.000, 0.000
  11,  900.00,  11.000, 0.000
  11, 1000.00,  14.000, 0.000
  11, 1250.00,  25.000, 0.000
  11, 1500.00,  40.000, 0.000
  11, 1750.00,  50.000, 0.000
  11, 2000.00,  57.000, 0.000
  11, 2500.00,  70.000, 0.000
  11, 3000.00,  77.000, 0.000
  11, 3500.00,  80.000, 0.000
  11, 4000.00,  77.000, 0.000
  11, 4200.00,  75.000, 0.000
  12,  750.00,   5.000, 0.000
  12, 1000.00,   9.000, 0.000
  12, 1250.00,  13.000, 0.000
  12, 1500.00,  18.000, 0.000
  12, 1750.00,  22.000, 0.000
  12, 2000.00,  25.000, 0.000
  12, 2250.00,  29.000, 0.000
  12, 2500.00,  33.000, 0.000
  12, 2750.00,  36.000, 0.000
  12, 3000.00,  39.000, 0.000
  12, 3500.00,  46.000, 0.000
  12, 4000.00,  52.000, 0.000
  12, 4500.00,  57.000, 0.000
  12, 5000.00,  61.000, 0.000
  12, 5500.00,  64.000, 0.000
  12, 5750.00,  65.000, 0.000
  12, 6000.00,  64.000, 0.000
  12, 6001.00,   1.000, 0.000
  12, 7000.00,   1.000, 0.000
  13,  750.00,   6.000, 0.000
  13, 1000.00,  13.000, 0.000
  13, 1250.00,  22.000, 0.000
  13, 1500.00,  35.000, 0.000
  13, 1750.00,  44.000, 0.000
  13, 2000.00,  52.000, 0.000
  13, 2500.00,  65.000, 0.000
  13, 3000.00,  76.000, 0.000
  13, 3500.00,  84.000, 0.000
  13, 4000.00,  90.000, 0.000
  13, 4500.00,  95.000, 0.000
  13, 5000.00,  98.000, 0.000
  13, 5500.00, 100.000, 0.000
  13, 6000.00,  99.000, 0.000
  13, 6001.00,   1.000, 0.000
  13, 7000.00,   1.000, 0.000
  14,  700.00,  10.000, 0.000
  14, 1000.00,  18.000, 0.000
  14, 1500.00,  40.000, 0.000
  14, 1900.00,  60.000, 0.000
  14, 2000.00,  65.000, 0.000
  14, 2500.00,  95.000, 0.000
  14, 3000.00, 120.000, 0.000
  14, 3500.00, 140.000, 0.000
  14, 4000.00, 160.000, 0.000
  14, 4500.00, 180.000, 0.000
  14, 5000.00, 200.000, 0.000
  14, 5500.00, 215.000, 0.000
  14, 6000.00, 221.000, 0.000
  14, 6450.00, 210.000, 0.000
  14, 6500.00,   1.000, 0.000
  14, 8000.00,   1.000, 0.000
  15,  750.00,   5.000, 0.000
  15, 1000.00,   9.000, 0.000
  15, 1250.00,  13.000, 0.000
  15, 1500.00,  18.000, 0.000
  15, 1750.00,  22.000, 0.000
  15, 2000.00,  25.000, 0.000
  15, 2250.00,  29.000, 0.000
  15, 2500.00,  33.000, 0.000
  15, 2750.00,  36.000, 0.000
  15, 3000.00,  39.000, 0.000
  15, 3500.00,  46.000, 0.000
  15, 4000.00,  52.000, 0.000
  15, 4500.00,  57.000, 0.000
  15, 5000.00,  61.000, 0.000
  15, 5500.00,  64.000, 0.000
  15, 5750.00,  65.000, 0.000
  15, 6000.00,  64.000, 0.000
  15, 6001.00,   1.000, 0.000
  15, 7000.00,   1.000, 0.000
  16,  750.00,   6.000, 0.000
  16, 1000.00,  13.000, 0.000
  16, 1250.00,  22.000, 0.000
  16, 1500.00,  35.000, 0.000
  16, 1750.00,  44.000, 0.000
  16, 2000.00,  52.000, 0.000
  16, 2500.00,  65.000, 0.000
  16, 3000.00,  76.000, 0.000
  16, 3500.00,  84.000, 0.000
  16, 4000.00,  90.000, 0.000
  16, 4500.00,  95.000, 0.000
  16, 5000.00,  98.000, 0.000
  16, 5500.00, 100.000, 0.000
  16, 6000.00,  99.000, 0.000
  16, 6001.00,   1.000, 0.000
  16, 7000.00,   1.000, 0.000
  17,  750.00,   8.000, 0.000
  17, 1000.00,  25.000, 0.000
  17, 1250.00,  40.000, 0.000
  17, 1500.00,  65.000, 0.000
  17, 1750.00,  75.000, 0.000
  17, 2000.00,  85.000, 0.000
  17, 2250.00,  97.000, 0.000
  17, 2500.00, 107.000, 0.000
  17, 2750.00, 115.000, 0.000
  17, 3000.00, 123.000, 0.000
  17, 3250.00, 130.000, 0.000
  17, 3500.00, 137.000, 0.000
  17, 3750.00, 140.000, 0.000
  17, 4000.00, 137.000, 0.000
  17, 4250.00, 130.000, 0.000
  17, 4500.00, 120.000, 0.000
  17, 4750.00, 105.000, 0.000
  17, 5000.00,  90.000, 0.000
  18,  750.00,   8.000, 0.000
  18, 1000.00,  25.000, 0.200
  18, 1250.00,  40.000, 0.300
  18, 1500.00,  65.000, 0.200
  18, 1750.00,  75.000, 0.000
  18, 2000.00,  85.000, 0.000
  18, 2250.00,  97.000, 0.000
  18, 2500.00, 107.000, 0.000
  18, 2750.00, 115.000, 0.000
  18, 3000.00, 123.000, 0.000
  18, 3250.00, 130.000, 0.000
  18, 3500.00, 137.000, 0.000
  18, 3750.00, 140.000, 0.000
  18, 4000.00, 137.000, 0.000
  18, 4250.00, 130.000, 0.000
  18, 4500.00, 120.000, 0.000
  18, 4750.00, 105.000, 0.000
  18, 5000.00,  90.000, 0.000
  19,  750.00,   8.000, 0.000
  19, 1000.00,  25.000, 0.000
  19, 1250.00,  40.000, 0.000
  19, 1500.00,  65.000, 0.000
  19, 1750.00,  75.000, 0.000
  19, 2000.00,  75.000, 0.000
  19, 2250.00,  75.000, 0.000
  19, 2500.00,  75.000, 0.000
  19, 2750.00,  75.000, 0.000
  19, 3000.00,  75.000, 0.000
  19, 3250.00,  75.000, 0.000
  19, 3500.00,  75.000, 0.000
  19, 3750.00,  76.000, 0.000
  19, 4000.00,  75.000, 0.000
  19, 4250.00,  75.000, 0.000
  19, 4500.00,  75.000, 0.000
  19, 4750.00,  75.000, 0.000
