 veh,  g,     ndv
   1,  1, 107.520
   1,  2,  56.640
   1,  3,  37.080
   1,  4,  26.870
   1,  5,  20.960
   1,  6,  17.950
   2,  1, 112.650
   2,  2,  59.950
   2,  3,  38.840
   2,  4,  28.150
   2,  5,  21.950
   2,  6,  18.800
   3,  1, 110.080
   3,  2,  59.440
   3,  3,  37.790
   3,  4,  29.510
   3,  5,  24.540
   3,  6,  20.800
   4,  1, 132.630
   4,  2,  70.870
   4,  3,  43.960
   4,  4,  30.920
   4,  5,  23.960
   4,  6,  20.230
   5,  1, 174.220
   5,  2, 101.320
   5,  3,  63.940
   5,  4,  43.610
   5,  5,  31.740
   5,  6,  24.150
   6,  1, 138.310
   6,  2,  72.570
   6,  3,  45.750
   6,  4,  33.500
   6,  5,  24.460
   7,  1, 139.660
   7,  2,  70.320
   7,  3,  43.100
   7,  4,  32.590
   7,  5,  25.260
   7,  6,  21.330
   8,  1, 163.750
   8,  2, 102.120
   8,  3,  70.110
   8,  4,  52.730
   8,  5,  39.850
   8,  6,  31.460
   9,  1, 183.300
   9,  2, 110.300
   9,  3,  68.600
   9,  4,  46.600
   9,  5,  35.700
  10,  1, 131.410
  10,  2,  68.630
  10,  3,  47.350
  10,  4,  34.410
  10,  5,  28.340
  11,  1, 113.000
  11,  2,  65.000
  11,  3,  41.000
  11,  4,  29.000
  11,  5,  22.000
  11,  6,  17.000
  12,  1, 122.000
  12,  2,  65.000
  12,  3,  46.000
  12,  4,  35.000
  12,  5,  27.000
  13,  1, 127.000
  13,  2,  75.000
  13,  3,  50.000
  13,  4,  36.000
  13,  5,  28.000
  13,  6,  22.000
  14,  1, 127.000
  14,  2,  79.000
  14,  3,  51.000
  14,  4,  40.000
  14,  5,  32.000
  14,  6,  27.000
  15,  1, 145.000
  15,  2,  77.000
  15,  3,  54.000
  15,  4,  41.000
  15,  5,  33.000
  16,  1, 127.000
  16,  2,  75.000
  16,  3,  50.000
  16,  4,  36.000
  16,  5,  28.000
  16,  6,  22.000
  17,  1, 147.000
  17,  2,  77.000
  17,  3,  47.000
  17,  4,  31.000
  17,  5,  24.000
  17,  6,  21.000
  18,  1, 147.000
  18,  2,  77.000
  18,  3,  47.000
  18,  4,  31.000
  18,  5,  24.000
  18,  6,  21.000
  19,  1, 147.000
  19,  2,  77.000
  19,  3,  47.000
  19,  4,  31.000
  19,  5,  24.000
  19,  6,  21.000
  20,  1, 147.000
  20,  2,  77.000
  20,  3,  47.000
  20,  4,  31.000
  20,  5,  24.000
  20,  6,  21.000
  21,  1, 129.000
  21,  2,  74.000
  21,  3,  46.000
  21,  4,  32.000
  21,  5,  24.000
  21,  6,  19.000
  22,  1, 129.000
  22,  2,  74.000
  22,  3,  46.000
  22,  4,  32.000
  22,  5,  24.000
  22,  6,  19.000
  23,  1, 157.000
  23,  2,  83.000
  23,  3,  52.000
  23,  4,  42.000
  23,  5,  35.000
  23,  6,  31.000
  23,  7,  27.000
  23,  8,  23.000
  23,  9,  19.000
  23, 10,  15.000
  24,  1, 170.000
  24,  2, 106.000
  24,  3,  65.500
  24,  4,  43.000
  25,  1, 157.060
  25,  2,  83.190
  25,  3,  51.350
  25,  4,  35.410
  25,  5,  27.240
  25,  6,  21.620
  25,  7,  16.000
  26,  1, 283.360
  26,  2, 148.190
  26,  3,  90.630
  26,  4,  58.080
  27,  1, 246.370
  27,  2, 124.360
  27,  3,  74.800
  27,  4,  46.750
  27,  5,  39.740
  28,  1, 125.000
  28,  2,  69.000
  28,  3,  42.500
  28,  4,  32.000
  29,  1,  79.320
  29,  2,  49.420
  29,  3,  32.380
  29,  4,  24.220
  29,  5,  18.280
  30,  1, 110.290
  30,  2,  72.430
  30,  3,  54.000
  30,  4,  42.620
  30,  5,  34.700
  30,  6,  27.390
  31,  1, 113.150
  31,  2,  60.840
  31,  3,  40.460
  31,  4,  30.040
  31,  5,  23.880
  32,  1, 128.870
  32,  2,  70.810
  32,  3,  46.920
  32,  4,  35.680
  32,  5,  28.390
  32,  6,  23.860
  33,  1, 244.300
  33,  2, 140.300
  33,  3,  76.100
  33,  4,  53.000
  33,  5,  40.900
  33,  6,  31.000
  34,  1,  83.000
  34,  2,  46.000
  34,  3,  23.000
  35,  1, 146.630
  35,  2,  76.800
  35,  3,  46.950
  35,  4,  31.290
  35,  5,  23.910
  35,  6,  21.020
  36,  1, 210.000
  36,  2, 101.000
  36,  3,  60.500
  36,  4,  43.000
  36,  5,  35.000
  36,  6,  27.500
  37,  1, 164.000
  37,  2,  90.500
  37,  3,  61.000
  37,  4,  43.000
  37,  5,  36.000
  38,  1, 102.120
  38,  2,  70.110
  38,  3,  52.730
  38,  4,  39.850
  38,  5,  31.460
  39,  1,  83.000
  39,  2,  52.000
  39,  3,  42.000
  39,  4,  35.000
  39,  5,  31.000
  39,  6,  27.000
  39,  7,  23.000
  39,  8,  19.000
  39,  9,  15.000
  40,  1, 138.460
  40,  2,  74.370
  40,  3,  48.430
  40,  4,  35.390
  40,  5,  27.180
  41,  1, 417.000
  41,  2, 239.600
  41,  3, 138.200
  41,  4,  90.300
  42,  1, 107.520
  42,  2,  56.640
  42,  3,  37.080
  42,  4,  26.870
  42,  5,  20.960
  42,  6,  17.950
  43,  1, 234.610
  43,  2, 122.880
  43,  3,  75.120
  43,  4,  50.060
  43,  5,  38.260
  43,  6,  33.630
  44,  1, 122.880
  44,  2,  75.120
  44,  3,  50.060
  44,  4,  38.260
  44,  5,  33.630
  45,  1, 157.060
  45,  2,  83.190
  45,  3,  51.350
  45,  4,  35.410
  45,  5,  27.240
  45,  6,  21.620
  45,  7,  14.000
  46,  1, 121.000
  46,  2,  62.000
  46,  3,  35.500
  46,  4,  24.700
  46,  5,  19.000
  46,  6,  16.000
  47,  1, 121.000
  47,  2,  62.000
  47,  3,  35.500
  47,  4,  24.700
  47,  5,  19.000
  47,  6,  16.000
  48,  1, 113.600
  48,  2,  70.600
  48,  3,  50.100
  48,  4,  36.800
  48,  5,  29.000
  48,  6,  24.100
  49,  1, 157.000
  49,  2,  83.000
  49,  3,  46.000
  49,  4,  23.000
  50,  1,  86.230
  50,  2,  48.390
  50,  3,  31.430
  50,  4,  23.570
  50,  5,  17.990
  50,  6,  14.270
  51,  1, 249.000
  51,  2, 132.000
  51,  3,  81.500
  51,  4,  56.200
  51,  5,  43.200
  51,  6,  34.100
  51,  7,  22.200
  52,  1, 120.937
  52,  2,  61.831
  52,  3,  35.508
  52,  4,  24.707
  52,  5,  19.164
  52,  6,  15.996
  53,  1, 120.937
  53,  2,  61.831
  53,  3,  35.508
  53,  4,  24.707
  53,  5,  19.164
  53,  6,  15.996
  54,  1, 132.626
  54,  2,  70.872
  54,  3,  43.956
  54,  4,  30.921
  54,  5,  23.964
  54,  6,  20.231
  55,  1, 110.988
  55,  2,  58.275
  55,  3,  36.738
  55,  4,  26.911
  55,  5,  19.650
  56,  1, 139.665
  56,  2,  70.323
  56,  3,  43.103
  56,  4,  32.595
  56,  5,  25.259
  56,  6,  21.327
  57,  1, 249.000
  57,  2, 132.000
  57,  3,  81.500
  57,  4,  56.200
  57,  5,  43.200
  57,  6,  34.100
  57,  7,  22.200
  58,  1, 145.020
  58,  2,  76.360
  58,  3,  43.560
  58,  4,  28.980
  58,  5,  23.530
  58,  6,  19.850
  59,  1, 145.020
  59,  2,  76.360
  59,  3,  43.560
  59,  4,  28.980
  59,  5,  23.530
  59,  6,  19.850
  60,  1, 128.390
  60,  2,  72.290
  60,  3,  44.430
  60,  4,  28.320
  60,  5,  21.620
  60,  6,  18.100
  61,  1, 103.842
  61,  2,  54.526
  61,  3,  34.364
  61,  4,  25.170
  61,  5,  18.379
  62,  1, 174.216
  62,  2, 101.317
  62,  3,  63.939
  62,  4,  43.611
  62,  5,  31.736
  62,  6,  24.149
  63,  1, 137.930
  63,  2,  69.440
  63,  3,  42.570
  63,  4,  29.330
  63,  5,  22.730
  63,  6,  18.110
  64,  1, 116.414
  64,  2,  60.790
  64,  3,  41.288
  64,  4,  30.441
  64,  5,  23.827
  64,  6,  19.928
  65,  1, 116.414
  65,  2,  63.790
  65,  3,  41.288
  65,  4,  30.441
  65,  5,  23.827
  65,  6,  19.928
  66,  1, 135.500
  66,  2,  76.670
  66,  3,  48.200
  66,  4,  33.100
  66,  5,  24.250
  67,  1, 114.740
  67,  2,  71.490
  67,  3,  47.500
  67,  4,  33.800
  67,  5,  25.900
  67,  6,  19.400
  68,  1, 121.260
  68,  2,  75.550
  68,  3,  53.260
  68,  4,  39.220
  68,  5,  30.050
  68,  6,  22.510
  69,  1, 101.340
  69,  2,  63.140
  69,  3,  45.570
  69,  4,  34.800
  69,  5,  29.410
  69,  6,  22.030
  70,  1, 115.860
  70,  2,  72.190
  70,  3,  51.660
  70,  4,  39.200
  70,  5,  30.690
  70,  6,  23.000
  71,  1, 126.910
  71,  2,  79.070
  71,  3,  51.800
  71,  4,  38.750
  71,  5,  29.240
  72,  1, 142.000
  72,  2,  72.000
  72,  3,  46.000
  72,  4,  33.000
  72,  5,  23.000
  73,  1, 132.000
  73,  2,  86.800
  73,  3,  61.800
  73,  4,  49.200
  73,  5,  40.000
  73,  6,  32.000
  74,  1, 207.000
  74,  2, 126.000
  74,  3,  78.700
  74,  4,  55.000
  74,  5,  44.000
  75,  1, 260.500
  75,  2, 163.500
  75,  3, 108.000
  75,  4,  71.500
  75,  5,  59.700
  76,  1, 290.000
  76,  2, 169.000
  76,  3, 106.000
  76,  4,  69.000
  76,  5,  56.500
  77,  1, 175.500
  77,  2, 101.500
  77,  3,  55.000
  77,  4,  37.000
  77,  5,  31.000
  78,  1, 320.000
  78,  2, 200.000
  78,  3, 123.000
  78,  4,  76.000
  79,  1, 300.000
  79,  2, 172.500
  79,  3,  99.500
  79,  4,  65.000
  80,  1, 175.000
  80,  2,  95.000
  80,  3,  65.000
  80,  4,  45.500
  80,  5,  36.000
  81,  1, 103.500
  81,  2,  58.000
  81,  3,  38.500
  81,  4,  28.000
  81,  5,  22.000
  82,  1, 152.700
  82,  2,  80.000
  82,  3,  46.700
  82,  4,  30.700
  82,  5,  24.300
  82,  6,  20.800
  83,  1, 113.150
  83,  2,  60.840
  83,  3,  40.460
  83,  4,  30.040
  83,  5,  23.880
  84,  1, 128.870
  84,  2,  70.810
  84,  3,  46.920
  84,  4,  35.680
  84,  5,  28.390
  84,  6,  23.860
  85,  1, 125.000
  85,  2,  71.000
  85,  3,  46.000
  85,  4,  32.000
  85,  5,  24.000
  85,  6,  19.700
  86,  1, 155.000
  86,  2,  85.000
  86,  3,  51.500
  86,  4,  36.500
  86,  5,  29.800
  87,  1, 108.000
  87,  2,  58.500
  87,  3,  38.500
  87,  4,  28.000
  87,  5,  22.000
  88,  1, 160.000
  88,  2,  90.000
  88,  3,  51.500
  88,  4,  35.000
  88,  5,  28.000
  89,  1, 154.000
  89,  2,  93.000
