case,    t,  gear_or_clutch
   1,    0,  MANUAL-NEUTRAL
   1,   10,        MANUAL-1
   1,   17,        MANUAL-2
   1,   27,        MANUAL-3
   1,   41,        MANUAL-2
   1,   54,        MANUAL-1
   1,   64,        MANUAL-2
   1,   72,        MANUAL-3
   1,   89,        MANUAL-2
   1,   94,  MANUAL-NEUTRAL
   1,  136,        MANUAL-1
   1,  142,        MANUAL-2
   1,  156,        MANUAL-1
   1,  159,        MANUAL-2
   1,  167,        MANUAL-3
   1,  173,        MANUAL-2
   1,  193,        MANUAL-1
   1,  203,        MANUAL-2
   1,  210,        MANUAL-3
   1,  216,        MANUAL-4
   1,  240,        MANUAL-3
   1,  245,        MANUAL-2
   1,  264,        MANUAL-3
   1,  278,        MANUAL-2
   1,  285,        MANUAL-3
   1,  289,        MANUAL-4
   1,  305,        MANUAL-3
   1,  317,        MANUAL-2
   1,  376,  MANUAL-NEUTRAL
   1,  390,        MANUAL-1
   1,  397,        MANUAL-2
   1,  440,  MANUAL-NEUTRAL
   1,  510,        MANUAL-1
   1,  516,        MANUAL-2
   1,  525,  MANUAL-NEUTRAL
   1,  531,        MANUAL-1
   1,  539,        MANUAL-2
   1,  565,  MANUAL-NEUTRAL
   1,  599,        MANUAL-1
   1,  606,        MANUAL-2
   1,  609,        MANUAL-3
   1,  612,        MANUAL-4
   1,  622,        MANUAL-3
   1,  625,        MANUAL-4
   1,  656,        MANUAL-3
   1,  660,        MANUAL-2
   1,  665,        MANUAL-1
   1,  668,        MANUAL-2
   1,  672,        MANUAL-3
   1,  680,        MANUAL-2
   1,  709,        MANUAL-1
   1,  711,        MANUAL-2
   1,  717,        MANUAL-1
   1,  721,        MANUAL-2
   1,  727,        MANUAL-3
   1,  740,        MANUAL-4
   1,  757,        MANUAL-3
   1,  760,        MANUAL-2
   1,  764,        MANUAL-1
   1,  767,        MANUAL-2
   1,  771,        MANUAL-3
   1,  774,        MANUAL-4
   1,  778,        MANUAL-5
   1,  796,        MANUAL-4
   1,  799,        MANUAL-3
   1,  803,        MANUAL-4
   1,  812,        MANUAL-3
   1,  815,        MANUAL-2
   1,  825,        MANUAL-3
   1,  831,        MANUAL-4
   1,  848,        MANUAL-5
   1,  861,        MANUAL-6
   1,  892,        MANUAL-5
   1,  903,        MANUAL-4
   1,  906,        MANUAL-3
   1,  910,        MANUAL-4
   1,  916,        MANUAL-5
   1,  936,        MANUAL-4
   1,  954,        MANUAL-3
   1,  957,        MANUAL-2
   1,  961,        MANUAL-3
   1,  963,        MANUAL-4
   1,  973,  MANUAL-NEUTRAL
   1,  974,        MANUAL-2
