   class,    t,     v
 class 1,    0,   0.0
 class 1,    1,   0.0
 class 1,    2,   0.0
 class 1,    3,   0.0
 class 1,    4,   0.0
 class 1,    5,   0.0
 class 1,    6,   0.0
 class 1,    7,   0.0
 class 1,    8,   0.0
 class 1,    9,   0.0
 class 1,   10,   0.0
 class 1,   11,   0.0
 class 1,   12,   0.2
 class 1,   13,   3.1
 class 1,   14,   5.7
 class 1,   15,   8.0
 class 1,   16,  10.1
 class 1,   17,  12.0
 class 1,   18,  13.8
 class 1,   19,  15.4
 class 1,   20,  16.7
 class 1,   21,  17.7
 class 1,   22,  18.3
 class 1,   23,  18.8
 class 1,   24,  18.9
 class 1,   25,  18.4
 class 1,   26,  16.9
 class 1,   27,  14.3
 class 1,   28,  10.8
 class 1,   29,   7.1
 class 1,   30,   4.0
 class 1,   31,   0.0
 class 1,   32,   0.0
 class 1,   33,   0.0
 class 1,   34,   0.0
 class 1,   35,   1.5
 class 1,   36,   3.8
 class 1,   37,   5.6
 class 1,   38,   7.5
 class 1,   39,   9.2
 class 1,   40,  10.8
 class 1,   41,  12.4
 class 1,   42,  13.8
 class 1,   43,  15.2
 class 1,   44,  16.3
 class 1,   45,  17.3
 class 1,   46,  18.0
 class 1,   47,  18.8
 class 1,   48,  19.5
 class 1,   49,  20.2
 class 1,   50,  20.9
 class 1,   51,  21.7
 class 1,   52,  22.4
 class 1,   53,  23.1
 class 1,   54,  23.7
 class 1,   55,  24.4
 class 1,   56,  25.1
 class 1,   57,  25.4
 class 1,   58,  25.2
 class 1,   59,  23.4
 class 1,   60,  21.8
 class 1,   61,  19.7
 class 1,   62,  17.3
 class 1,   63,  14.7
 class 1,   64,  12.0
 class 1,   65,   9.4
 class 1,   66,   5.6
 class 1,   67,   3.1
 class 1,   68,   0.0
 class 1,   69,   0.0
 class 1,   70,   0.0
 class 1,   71,   0.0
 class 1,   72,   0.0
 class 1,   73,   0.0
 class 1,   74,   0.0
 class 1,   75,   0.0
 class 1,   76,   0.0
 class 1,   77,   0.0
 class 1,   78,   0.0
 class 1,   79,   0.0
 class 1,   80,   0.0
 class 1,   81,   0.0
 class 1,   82,   0.0
 class 1,   83,   0.0
 class 1,   84,   0.0
 class 1,   85,   0.0
 class 1,   86,   0.0
 class 1,   87,   0.0
 class 1,   88,   0.0
 class 1,   89,   0.0
 class 1,   90,   0.0
 class 1,   91,   0.0
 class 1,   92,   0.0
 class 1,   93,   0.0
 class 1,   94,   0.0
 class 1,   95,   0.0
 class 1,   96,   0.0
 class 1,   97,   0.0
 class 1,   98,   0.0
 class 1,   99,   0.0
 class 1,  100,   0.0
 class 1,  101,   0.0
 class 1,  102,   0.0
 class 1,  103,   0.0
 class 1,  104,   0.0
 class 1,  105,   0.0
 class 1,  106,   0.0
 class 1,  107,   0.0
 class 1,  108,   0.7
 class 1,  109,   1.1
 class 1,  110,   1.9
 class 1,  111,   2.5
 class 1,  112,   3.5
 class 1,  113,   4.7
 class 1,  114,   6.1
 class 1,  115,   7.5
 class 1,  116,   9.4
 class 1,  117,  11.0
 class 1,  118,  12.9
 class 1,  119,  14.5
 class 1,  120,  16.4
 class 1,  121,  18.0
 class 1,  122,  20.0
 class 1,  123,  21.5
 class 1,  124,  23.5
 class 1,  125,  25.0
 class 1,  126,  26.8
 class 1,  127,  28.2
 class 1,  128,  30.0
 class 1,  129,  31.4
 class 1,  130,  32.5
 class 1,  131,  33.2
 class 1,  132,  33.4
 class 1,  133,  33.7
 class 1,  134,  33.9
 class 1,  135,  34.2
 class 1,  136,  34.4
 class 1,  137,  34.7
 class 1,  138,  34.9
 class 1,  139,  35.2
 class 1,  140,  35.4
 class 1,  141,  35.7
 class 1,  142,  35.9
 class 1,  143,  36.6
 class 1,  144,  37.5
 class 1,  145,  38.4
 class 1,  146,  39.3
 class 1,  147,  40.0
 class 1,  148,  40.6
 class 1,  149,  41.1
 class 1,  150,  41.4
 class 1,  151,  41.6
 class 1,  152,  41.8
 class 1,  153,  41.8
 class 1,  154,  41.9
 class 1,  155,  41.9
 class 1,  156,  42.0
 class 1,  157,  42.0
 class 1,  158,  42.2
 class 1,  159,  42.3
 class 1,  160,  42.6
 class 1,  161,  43.0
 class 1,  162,  43.3
 class 1,  163,  43.7
 class 1,  164,  44.0
 class 1,  165,  44.3
 class 1,  166,  44.5
 class 1,  167,  44.6
 class 1,  168,  44.6
 class 1,  169,  44.5
 class 1,  170,  44.4
 class 1,  171,  44.3
 class 1,  172,  44.2
 class 1,  173,  44.1
 class 1,  174,  44.0
 class 1,  175,  43.9
 class 1,  176,  43.8
 class 1,  177,  43.7
 class 1,  178,  43.6
 class 1,  179,  43.5
 class 1,  180,  43.4
 class 1,  181,  43.3
 class 1,  182,  43.1
 class 1,  183,  42.9
 class 1,  184,  42.7
 class 1,  185,  42.5
 class 1,  186,  42.3
 class 1,  187,  42.2
 class 1,  188,  42.2
 class 1,  189,  42.2
 class 1,  190,  42.3
 class 1,  191,  42.4
 class 1,  192,  42.5
 class 1,  193,  42.7
 class 1,  194,  42.9
 class 1,  195,  43.1
 class 1,  196,  43.2
 class 1,  197,  43.3
 class 1,  198,  43.4
 class 1,  199,  43.4
 class 1,  200,  43.2
 class 1,  201,  42.9
 class 1,  202,  42.6
 class 1,  203,  42.2
 class 1,  204,  41.9
 class 1,  205,  41.5
 class 1,  206,  41.0
 class 1,  207,  40.5
 class 1,  208,  39.9
 class 1,  209,  39.3
 class 1,  210,  38.7
 class 1,  211,  38.1
 class 1,  212,  37.5
 class 1,  213,  36.9
 class 1,  214,  36.3
 class 1,  215,  35.7
 class 1,  216,  35.1
 class 1,  217,  34.5
 class 1,  218,  33.9
 class 1,  219,  33.6
 class 1,  220,  33.5
 class 1,  221,  33.6
 class 1,  222,  33.9
 class 1,  223,  34.3
 class 1,  224,  34.7
 class 1,  225,  35.1
 class 1,  226,  35.5
 class 1,  227,  35.9
 class 1,  228,  36.4
 class 1,  229,  36.9
 class 1,  230,  37.4
 class 1,  231,  37.9
 class 1,  232,  38.3
 class 1,  233,  38.7
 class 1,  234,  39.1
 class 1,  235,  39.3
 class 1,  236,  39.5
 class 1,  237,  39.7
 class 1,  238,  39.9
 class 1,  239,  40.0
 class 1,  240,  40.1
 class 1,  241,  40.2
 class 1,  242,  40.3
 class 1,  243,  40.4
 class 1,  244,  40.5
 class 1,  245,  40.5
 class 1,  246,  40.4
 class 1,  247,  40.3
 class 1,  248,  40.2
 class 1,  249,  40.1
 class 1,  250,  39.7
 class 1,  251,  38.8
 class 1,  252,  37.4
 class 1,  253,  35.6
 class 1,  254,  33.4
 class 1,  255,  31.2
 class 1,  256,  29.1
 class 1,  257,  27.6
 class 1,  258,  26.6
 class 1,  259,  26.2
 class 1,  260,  26.3
 class 1,  261,  26.7
 class 1,  262,  27.5
 class 1,  263,  28.4
 class 1,  264,  29.4
 class 1,  265,  30.4
 class 1,  266,  31.2
 class 1,  267,  31.9
 class 1,  268,  32.5
 class 1,  269,  33.0
 class 1,  270,  33.4
 class 1,  271,  33.8
 class 1,  272,  34.1
 class 1,  273,  34.3
 class 1,  274,  34.3
 class 1,  275,  33.9
 class 1,  276,  33.3
 class 1,  277,  32.6
 class 1,  278,  31.8
 class 1,  279,  30.7
 class 1,  280,  29.6
 class 1,  281,  28.6
 class 1,  282,  27.8
 class 1,  283,  27.0
 class 1,  284,  26.4
 class 1,  285,  25.8
 class 1,  286,  25.3
 class 1,  287,  24.9
 class 1,  288,  24.5
 class 1,  289,  24.2
 class 1,  290,  24.0
 class 1,  291,  23.8
 class 1,  292,  23.6
 class 1,  293,  23.5
 class 1,  294,  23.4
 class 1,  295,  23.3
 class 1,  296,  23.3
 class 1,  297,  23.2
 class 1,  298,  23.1
 class 1,  299,  23.0
 class 1,  300,  22.8
 class 1,  301,  22.5
 class 1,  302,  22.1
 class 1,  303,  21.7
 class 1,  304,  21.1
 class 1,  305,  20.4
 class 1,  306,  19.5
 class 1,  307,  18.5
 class 1,  308,  17.6
 class 1,  309,  16.6
 class 1,  310,  15.7
 class 1,  311,  14.9
 class 1,  312,  14.3
 class 1,  313,  14.1
 class 1,  314,  14.0
 class 1,  315,  13.9
 class 1,  316,  13.8
 class 1,  317,  13.7
 class 1,  318,  13.6
 class 1,  319,  13.5
 class 1,  320,  13.4
 class 1,  321,  13.3
 class 1,  322,  13.2
 class 1,  323,  13.2
 class 1,  324,  13.2
 class 1,  325,  13.4
 class 1,  326,  13.5
 class 1,  327,  13.7
 class 1,  328,  13.8
 class 1,  329,  14.0
 class 1,  330,  14.1
