 veh,    class, f_dsc, p_rated, n_rated,  n_idle,  n_max1, #g, m_test,   m_ro,   n_lim,      f0,      f1,      f2,    SM
   1, class 3b, 0.000,   110.0, 4000.00,  800.00,    0.00,  6, 1700.0,    0.0,    0.00,  200.00, 0.35000, 0.03200, 0.100
   2, class 3b, 0.000,   135.0, 5000.00,  700.00,    0.00,  6, 1800.0,    0.0,    0.00,  200.00, 0.34000, 0.03200, 0.100
   3, class 3b, 0.000,   100.0, 4400.00,  800.00,    0.00,  6, 1250.0,    0.0,    0.00,  133.00, 0.33000, 0.03000, 0.100
   4, class 3b, 0.000,    96.2, 4000.00,  850.00,    0.00,  6, 1700.0,    0.0,    0.00,   77.68, 0.67100, 0.03460, 0.100
   5, class 3b, 0.000,    92.0, 5500.00,  750.00,    0.00,  6, 1589.0,    0.0,    0.00,  139.71, 0.67300, 0.04650, 0.100
   6, class 3b, 0.000,    65.9, 5000.00,  800.00,    0.00,  5, 1020.0,    0.0,    0.00,   76.76, 0.51600, 0.03000, 0.100
   7, class 3b, 0.012,    99.7, 3500.00,  780.00,    0.00,  6, 2734.0,    0.0,    0.00,  293.30, 0.00000, 0.09172, 0.100
   8, class 3b, 0.000,    43.0, 2000.00,  800.00,    0.00,  6,  987.0,    0.0,    0.00,   72.00, 0.14000, 0.03517, 0.100
   9, class 3b, 0.000,    36.0, 6500.00,  850.00,    0.00,  5,  790.0,    0.0,    0.00,   50.30, 0.00000, 0.03662, 0.100
  10, class 3b, 0.000,    85.5, 6000.00,  750.00,    0.00,  5, 1618.6,    0.0,    0.00,  129.20, 0.00000, 0.03900, 0.100
  11, class 3b, 0.000,    80.0, 3500.00,  750.00,    0.00,  6, 1000.0,    0.0,    0.00,   60.00, 0.50000, 0.02300, 0.100
  12, class 3b, 0.000,    65.0, 5750.00,  750.00,    0.00,  5,  950.0,    0.0,    0.00,   58.00, 0.50000, 0.02300, 0.100
  13, class 3b, 0.000,   100.0, 5500.00,  750.00,    0.00,  6, 1000.0,    0.0,    0.00,   62.00, 0.50000, 0.02300, 0.100
  14, class 3b, 0.000,   221.0, 6000.00,  700.00,    0.00,  6, 1500.0,    0.0,    0.00,  160.00, 0.68000, 0.03300, 0.100
  15, class 3b, 0.000,    65.0, 5750.00,  750.00,    0.00,  5, 1500.0,    0.0,    0.00,  150.00, 0.51000, 0.03800, 0.100
  16, class 3b, 0.000,   100.0, 5500.00,  750.00,    0.00,  6, 1400.0,    0.0,    0.00,  120.00, 0.50000, 0.03200, 0.100
  17, class 3b, 0.000,   140.0, 3750.00,  750.00,    0.00,  6, 2950.0,    0.0,    0.00,  260.00, 0.54000, 0.08700, 0.100
  18, class 3b, 0.000,   140.0, 3750.00,  750.00,    0.00,  6, 2950.0,    0.0,    0.00,  260.00, 0.54000, 0.08700, 0.100
  19,  class 2, 0.075,    76.0, 3750.00,  750.00,    0.00,  6, 2950.0,    0.0,    0.00,  260.00, 0.54000, 0.08700, 0.100
  20,  class 2, 0.091,    74.0, 3750.00,  750.00,    0.00,  6, 2950.0,    0.0,    0.00,  260.00, 0.54000, 0.08700, 0.100
  21, class 3b, 0.000,    80.0, 3500.00,  750.00,    0.00,  6, 1950.0,    0.0,    0.00,  200.00, 0.60000, 0.04400, 0.100
  22, class 3b, 0.000,    80.0, 3500.00,  750.00,    0.00,  6, 1950.0,    0.0,    0.00,  200.00, 0.60000, 0.04400, 0.100
  23, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00, 10, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  24,  class 2, 0.070,    25.0, 5000.00,  900.00,    0.00,  4,  934.0,    0.0,    0.00,  120.00, 0.00000, 0.02800, 0.100
  25,  class 2, 0.036,    40.0, 4000.00,  800.00,    0.00,  7, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  26,  class 1, 0.080,     6.5, 3600.00, 1200.00,    0.00,  4,  840.0,    0.0,    0.00,  118.00, 0.00000, 0.02900, 0.100
  27,  class 1, 0.000,    15.5, 3400.00,  900.00,    0.00,  5, 1255.0,    0.0,    0.00,  180.00, 0.00000, 0.03700, 0.100
  28,  class 1, 0.000,    29.1, 2900.00,  850.00,    0.00,  4, 1712.0,    0.0,    0.00,  200.00, 0.00000, 0.04200, 0.100
  29, class 3b, 0.000,   162.0, 4000.00,  700.00,    0.00,  5, 2450.0,    0.0,    0.00,  230.00, 0.50000, 0.05000, 0.100
  30, class 3b, 0.000,   357.0, 8500.00,  900.00,    0.00,  6, 1790.0,    0.0,    0.00,  210.00, 0.50000, 0.02500, 0.100
  31, class 3b, 0.000,    51.5, 6000.00,  850.00,    0.00,  5, 1170.0,    0.0,    0.00,  150.00, 0.00000, 0.02900, 0.100
  32, class 3b, 0.000,    51.0, 6000.00,  800.00,    0.00,  6, 1305.0,    0.0,    0.00,  150.00, 0.00000, 0.03000, 0.100
  33, class 3a, 0.176,   110.0, 2800.00,  600.00,    0.00,  6, 3200.0,    0.0,    0.00,  600.00, 0.00000, 0.15000, 0.100
  34, class 3b, 0.000,    90.0, 4000.00,  800.00,    0.00,  3, 1560.0,    0.0,    0.00,  159.00, 0.81000, 0.03200, 0.100
  35, class 3a, 0.200,    95.3, 3500.00,  750.00,    0.00,  6, 2827.0,    0.0,    0.00,  395.78, 0.00000, 0.14774, 0.100
